2007-02-05T16:08:00.000Z	gouki		[Elsa] , a simple | rm ~/.mozilla/plugins/*flash* | will remove Flash
2007-02-05T16:09:00.000Z	[Elsa] 	gouki	thanxs i will try it now
2007-02-05T16:10:00.000Z	[Elsa] 	gouki	ok i follow ur step first
2007-02-05T16:11:00.000Z	[Elsa] 	gouki	on my terminal give this msg: ------> E: Could not get lock /var/lib/dpkg/lock - open (11 Resource temporarily unavailable)
2007-02-05T16:13:00.000Z	[Elsa] 	gouki	after i close that synaptic here a msg i got ------> xkarimx@ubuntu:~$ sudo apt-get remove flashplugin-nonfree
2007-02-05T16:14:00.000Z	[Elsa] 	gouki	sorry about pasting that
2007-02-05T16:15:00.000Z	[Elsa] 	gouki	after i use first code u give me --> rm ~/.mozilla/plugins/*flash*
2007-02-05T16:16:00.000Z	[Elsa] 	gouki	yes, i have to install flash9
2007-02-05T16:17:00.000Z	[Elsa] 	gouki	ok now my browser can open a flash web without auto close browser. so what command to install flash player 9?
2007-02-05T16:18:00.000Z	[Elsa] 	gouki	thanxs for ur URL. i will follow there. if i got a problem i will ask here again. thanxs
2007-02-05T16:21:00.000Z	[Elsa] 	gouki	from that link i have 2 option to install flash 9 plugin right?
2007-02-05T16:21:00.000Z	[Elsa] 	gouki	if i choose install Ubuntu repositories , is that after i running that command via terminal so everything is done now?
2007-02-05T16:22:00.000Z	[Elsa] 	gouki	ic.. but i already type sudo aptitude update && sudo aptitude install flashplugin-nonfree . so any turn back tips?
2007-02-05T16:23:00.000Z	[Elsa] 	gouki	ok i start now
2007-02-05T16:25:00.000Z	[Elsa] 	gouki	after download/install? by this command ---> wget -c http://fpdownload.macromedia.com/get/flashplayer/current/install_flash_player_9_linux.tar.gz
2007-02-05T16:27:00.000Z	[Elsa] 	gouki	thanxs
2007-02-05T16:29:00.000Z	[Elsa] 	gouki	ok now i get a error. after i tar that package then i have to mv it then i get this error ----> tar -xvzf install_flash_player_9_linux.tar.gz
2007-02-05T16:30:00.000Z	[Elsa] 	gouki	ok now i get a error. after i tar that package then i have to mv it then i get this error ----> mv: cannot move `install_flash_player_9_linux/libflashplayer.so' to `/urs/lib/firefox/plugins': No such file or directory
