2007-02-05T17:11:00.000Z	ardchoille		[Elsa] , My first reaction is to ask, are you sure you want to do that?
2007-02-05T17:11:00.000Z	[Elsa] 	ardchoille	actually i want to delete manually plugin in folder name mozilla-firefox
2007-02-05T17:12:00.000Z	[Elsa] 	ardchoille	what do u mean by pm?
2007-02-05T17:13:00.000Z	[Elsa] 	ardchoille	nop.didnt using pm. i follow a step here http://www.psychocats.net/ubuntu/flash
2007-02-05T17:14:00.000Z	[Elsa] 	ardchoille	thanxs
2007-02-05T17:16:00.000Z	[Elsa] 	ardchoille	by refer on that tutorial page i need to install into a folder name " firefox " but on my machine just only have "mozilla-firefox" after i install it i still can open my browser but i cant open a page with flash, it will close automatically
2007-02-05T17:17:00.000Z	[Elsa] 	ardchoille	that's OK i appreciate ur tips. at least i now how manually to delete that plugin file
2007-02-05T17:20:00.000Z	[Elsa] 	ardchoille	ic.. sound like no need any command line to install it right? ok now i refer on that page. however may i know something. sudo command only do a command need a super user privillage right?
2007-02-05T17:21:00.000Z	[Elsa] 	ardchoille	thanxs no i get a clear picture what SUDO mean. i'm really appreciate you
2007-02-05T17:23:00.000Z	[Elsa] 	ardchoille	special advise for newbies that love to study n know more about linux. which one u better me to familiar either using SUDO or with GUI stuff?
2007-02-05T17:25:00.000Z	[Elsa] 	ardchoille	thanxs for advice
2007-02-05T17:31:00.000Z	[Elsa] 	ardchoille	i got this msg ---> xkarimx@ubuntu:~$ lsb_release -a | grep release
2007-02-05T17:35:00.000Z	[Elsa] 	ardchoille	is that Dapper is a name of other version of Ubuntu? Let say in Windows got name WindowsMe /Windows XP so Ubuntu got Breeze n Dapper?
2007-02-05T17:37:00.000Z	[Elsa] 	ardchoille	thanxs for u info. i'm start to luv this OS. frankly, my friend said Ubuntu is most friendly linux platform to learn. is that true?
2007-02-05T17:38:00.000Z	[Elsa] 	ardchoille	so how bout Edgy? a latest ver for Ubuntu?
2007-02-05T17:39:00.000Z	[Elsa] 	ardchoille	so for a beginner level like me better i try dapper first than Edy?
2007-02-05T17:40:00.000Z	[Elsa] 	ardchoille	i already surf this http://www.ubuntu.com/products/GetUbuntu/download?action=show&redirect=download  ... so is that i have to download then using SUDO again or need to "reinstall" like a fresh copy install?
2007-02-05T17:42:00.000Z	[Elsa] 	ardchoille	oic.. ok ardchoille i'm really appreciate from what i gain a knowledge about ubuntu today. and also for mojo :* hehehe... may i have a pleasure to read on that page first then after that i come here back to gain more than all of ur guy :)
