2008-03-02T07:21:00.000Z	amenado		mohamed_-> one time or all the time? if one time, reboot again
2008-03-02T07:21:00.000Z	mohamed_	amenado	all time i can't boot to the system
2008-03-02T07:23:00.000Z	mohamed_	amenado	 is hp vectra p3 733 128 ram, , hdd 40G  ubuntu 7.10 server
2008-03-02T07:25:00.000Z	mohamed_	amenado	yes one only and installation i think complate because after finishing i reboot once and can access the server from the network, what i make only is install ndiswrapper
2008-03-02T07:26:00.000Z	mohamed_	amenado	i try to think about fstab configuration and Grub maybe this is the problem but i don't know how to fix it
2008-03-02T07:27:00.000Z	mohamed_	amenado	thx, i will do it
2008-03-09T00:57:00.000Z	mohamed_	amenado	is there a doc for this ?
2008-03-09T00:57:00.000Z	mohamed_	amenado	yes
2008-03-09T00:58:00.000Z	mohamed_	amenado	i have two computers, unfortunatly everyone have only one hard disk
2008-03-09T00:59:00.000Z	mohamed_	amenado	i have running ubuntu-server that i install vdr system on it but something wrong happen with me then everything become slow , i want want to install parrelle system till i become sure that is running well
2008-03-09T01:00:00.000Z	mohamed_	amenado	but i feel that i make something wrong on my current system this is why i want to install new system
2008-03-09T01:01:00.000Z	mohamed_	amenado	i mean that the new system will not run till i complate it
2008-03-09T01:02:00.000Z	mohamed_	amenado	 have livecd, and ubuntu-server cd this is what i will use
2008-03-09T01:03:00.000Z	mohamed_	amenado	yes there is enough space, only the system is old P3
2008-03-09T01:04:00.000Z	mohamed_	amenado	the hard disk is already have working linux
2008-03-09T01:04:00.000Z	mohamed_	amenado	 is it possible to repartation it  ?
2008-03-09T01:06:00.000Z	mohamed_	amenado	ok i will do this then tell you about the result
2008-03-09T03:27:00.000Z	mohamed_	amenado	i'm sorry i become busy at home this is take time from me, :)
2008-05-30T18:26:00.000Z	mohamed_	amenado	Odd-rationale that's nice i can try all today and see which is work faster, all today for mediacenter :)
