2010-06-02T23:40:00.000Z	ActionParsnip		Freezzy: what windows does is moot
2010-06-02T23:41:00.000Z	freezzy	ActionParsnip	windows can go to youtube.com . but ubuntu can not...
2010-06-02T23:42:00.000Z	freezzy	ActionParsnip	Linux yusuf-desktop 2.6.32-22-generic #33-Ubuntu SMP Wed Apr 28 13:27:30 UTC 2010 i686 GNU/Linux
2010-06-02T23:42:00.000Z	freezzy	ActionParsnip	 i can not ping. i dont know how to do it :(
2010-06-02T23:44:00.000Z	freezzy	ActionParsnip	the terminal writes just :PING youtube-ui.l.google.com (74.125.39.139) 56(84) bytes of data.
2010-06-02T23:44:00.000Z	freezzy	ActionParsnip	i dont want to use googles dns. please :( dont make me use it..
2010-06-02T23:44:00.000Z	freezzy	ActionParsnip	also i have to understand why windows can but ubuntu not...
2010-06-02T23:46:00.000Z	freezzy	ActionParsnip	my ip is changing by ISS when they want. (i mean sometimes - once a week)
2010-06-02T23:46:00.000Z	freezzy	ActionParsnip	i did not had any probelm. it starts today :(
2010-06-02T23:47:00.000Z	freezzy	ActionParsnip	 yes i try it.
2010-06-03T00:16:00.000Z	freezzy	ActionParsnip	i rest my mode as you told me five minutes before and i come back. now it is not working sagain. i dont want to use goole dns. i have to use opendns. and windows can
2010-06-03T00:18:00.000Z	freezzy	ActionParsnip	 i can go with vtunnel to ... maybe google dns will work but i can not use it. and i ant to learn why ubuntu can not. :( it is realy important..
2010-06-03T00:20:00.000Z	freezzy	ActionParsnip	yes they are working fine. like pidgin. and firefox works fine. i dont have any problem also on my ubuntu.
2010-06-03T00:21:00.000Z	freezzy	ActionParsnip	 no firewalll or something like that...
2010-06-03T00:21:00.000Z	freezzy	ActionParsnip	 i was going youtube two days vefore but now not :(
2010-06-03T00:22:00.000Z	freezzy	ActionParsnip	i did not try. but i have did all updates now on ubuntu.
2010-06-03T00:23:00.000Z	freezzy	ActionParsnip	but i have a live cd (with remastersys 25 days before) i try with it and now it is not working too. it is umbelieveble! :(
2010-06-03T00:23:00.000Z	freezzy	ActionParsnip	impossible!
2010-06-03T00:25:00.000Z	freezzy	ActionParsnip	 yes but it is not possible to crash firefox and opera from live cd :) i remember that i go many times with this cd to youtube ...
