2008-01-26T20:33:00.000Z	bkar		Cobrajr122-> we are serving number 899 what number is yours?
2008-01-26T20:34:00.000Z	Cobrajr122	bkar	: I didnt know that I got a number :P
2008-01-26T20:43:00.000Z	Cobrajr122	bkar	: Im just looking to get my files that i downloaded at that time so i can wipe the drive and install ubuntu server on it --> going along with that, I have 2 SCSIULTRA 320 15K drived on my desktop.... will ubuntu server have a problem with them?
2008-01-26T20:44:00.000Z	Cobrajr122	bkar	: can the drive ot copy over to be on the network?
2008-01-26T20:45:00.000Z	Cobrajr122	bkar	: oh no, ubuntu is installed on an pata 80gb maxtar :P
2008-01-26T20:47:00.000Z	Cobrajr122	bkar	: yes, my PC and my laptop, which i would prefer not to install ubuntu onto because of its limited disc space, and it also have a Gforce * series card in it :p
2008-01-26T20:48:00.000Z	Cobrajr122	bkar	: Gforce 8 **
2008-01-26T20:50:00.000Z	Cobrajr122	bkar	: im not entierly sure what you mean by mounting the drives and stuff, But between my PC and laptop there is just a small linksys switch that is connected to my PC and laptop and my main router for the whole house.
2008-01-26T20:51:00.000Z	Cobrajr122	bkar	: Its a 80GB pATA Maxtar
2008-01-26T20:52:00.000Z	Cobrajr122	bkar	: correct, thats what ubuntu is installed on
2008-01-26T20:54:00.000Z	Cobrajr122	bkar	: my old copy of ubuntu from late 2006 is installed on that HDD by itsself, it has the whole drive.
2008-01-26T20:56:00.000Z	Cobrajr122	bkar	: 1 80GB maxtar (ubuntu) 1 80GB WD (windows boot) 1 250GB WD sATA (storage) 2 HP ULTRA 320 SCSI 15K drives in Raid 1 (extremly fast, install games on it)
2008-01-26T20:58:00.000Z	Cobrajr122	bkar	: Correct
2008-01-26T20:59:00.000Z	Cobrajr122	bkar	: ubuntu cant feed my gamer :P
2008-01-26T21:00:00.000Z	Cobrajr122	bkar	: you can do that? woulda loved to know that ages ago
2008-01-26T21:01:00.000Z	Cobrajr122	bkar	: you mean like an external HDD? -- and you confused me again XD
2008-01-26T21:02:00.000Z	Cobrajr122	bkar	: yes i know how to use an external HDD
2008-01-26T21:02:00.000Z	Cobrajr122	bkar	: but i see where your going now
2008-01-26T21:04:00.000Z	Cobrajr122	bkar	: i think it would be easier to get the ext3 windows reader, do you know fo a name?
2008-01-26T21:05:00.000Z	Cobrajr122	bkar	: Great, thanks! sorry for not really teling you everything you needed to know --- one last thing, the new versions of linux server will or will not boot on a 8800GT
2008-01-26T21:06:00.000Z	Cobrajr122	bkar	: if it doent work i shal -- Thanks for the help and have a great day !
