2008-04-27T01:06:00.000Z	TimMatrix		Could anyone please help sort out the wireless problem on a toshiba satellite Pro L40 laptop?
2008-04-27T01:07:00.000Z	matthias_	TimMatrix	 what wireless card and ubuntu version are you running ?
2008-04-27T01:08:00.000Z	matthias_	TimMatrix	whaqt kind of wireless card ?
2008-04-27T01:11:00.000Z	matthias_	TimMatrix	 1:st you need to know what kind of wireless card you have in order so i can try to help, check your data of the computer and we can continue from there
2008-04-27T01:13:00.000Z	matthias_	TimMatrix	you need to look on the papers of your computer or by the following command, let me seeee ...
2008-04-27T01:17:00.000Z	matthias_	TimMatrix	 run sudo lshw and look for wireless or wlan or something alike ...
2008-04-27T01:18:00.000Z	matthias_	TimMatrix	 look for Description: Wireless interface
2008-04-27T01:22:00.000Z	matthias_	TimMatrix	 no does it say something with driver at the end of the list for wireless,  ido not think so ...
2008-04-27T01:24:00.000Z	matthias_	TimMatrix	 the wireless card is not an minicard as it seems ...
2008-04-27T01:24:00.000Z	matthias_	TimMatrix	 that means that there is no driver avaliabe for your wireless yeat ...
2008-04-27T01:25:00.000Z	matthias_	TimMatrix	 let us do this ...
2008-04-27T01:25:00.000Z	matthias_	TimMatrix	 no, let us continue ...
2008-04-27T01:26:00.000Z	matthias_	TimMatrix	 do system->administration-> hardware drivers ..... do you see any thing in the popup windows mentioning your wireless card there ?
2008-04-27T01:29:00.000Z	matthias_	TimMatrix	how new are you to ubuntu ?
2008-04-27T01:30:00.000Z	matthias_	TimMatrix	 than to verify that is is installed do ...
2008-04-27T01:31:00.000Z	matthias_	TimMatrix	 in the icon for network do left click do you see your routersa name ?
2008-04-27T01:34:00.000Z	matthias_	TimMatrix	ok, than the driver is probably the wrong one, this might soubd funny to you but grab an copy of the windows driver from your computer companies homepage only and placer it on your dektop also ...
2008-04-27T01:35:00.000Z	matthias_	TimMatrix	 make sure you have in system->administration-> windows  wireless drivers   haver to be there so we can use windows driver in ubuntu and maybe make it ...
2008-04-27T01:36:00.000Z	matthias_	TimMatrix	 1:st of all in system->administration->software sources check that all options are checked such as universe and so on ...
2008-04-27T01:38:00.000Z	matthias_	TimMatrix	 that is okey let it update itself ...
2008-04-27T01:39:00.000Z	matthias_	TimMatrix	 i will be back in 10 minutes, okey ... have to go ...
