2005-04-25T10:05:00.000Z	locomorto	Fazer	what card do you have?
2005-04-25T10:05:00.000Z	Fazer	locomorto	Wifi card or ethernet card?
2005-04-25T10:05:00.000Z	Fazer	locomorto	apparently, not for me.
2005-04-25T10:06:00.000Z	Fazer	locomorto	Oh, i have a laptop.
2005-04-25T10:06:00.000Z	Fazer	locomorto	Oh, no no, very old.  Thinkpad 600E
2005-04-25T10:07:00.000Z	Fazer	locomorto	366 MHz with 160 MB ram.
2005-04-25T10:07:00.000Z	Fazer	locomorto	Correct.
2005-04-25T10:08:00.000Z	Fazer	locomorto	The main problem I face is during the install, It would fail to autoconfigure the network
2005-04-25T10:08:00.000Z	Fazer	locomorto	I am currently directly connected to the Cable.
2005-04-25T10:08:00.000Z	Fazer	locomorto	And on Windows, it says that the IP address is assigned via DHCP.
2005-04-25T10:09:00.000Z	Fazer	locomorto	Alright, after?  The only machine that I have access to is this laptop =(
2005-04-25T10:09:00.000Z	Fazer	locomorto	Do I hvae to reset the cable modem?
2005-04-25T10:11:00.000Z	Fazer	locomorto	Hmm...so, reset the cable modem, then turno n th elappy with the install Cd in it?
2005-04-25T10:11:00.000Z	Fazer	locomorto	Eh? I abandoned the install after I was having network confi. problems =/
2005-04-25T10:12:00.000Z	Fazer	locomorto	Yeah, then I will think about all the time I have wasted =/
2005-04-25T10:13:00.000Z	Fazer	locomorto	this is a laptop ;)
2005-04-25T10:14:00.000Z	Fazer	locomorto	yeah, heh, thats cool.
2005-04-25T10:15:00.000Z	Fazer	locomorto	I have a Dynex DX E20 card (ethernet) and a Microsoft MN 720 WiFi .11g card.
2005-04-25T10:17:00.000Z	Fazer	locomorto	Holy shits..
2005-04-25T10:18:00.000Z	Fazer	locomorto	=( but how will I get those in the first place?
2005-04-25T10:18:00.000Z	Fazer	locomorto	How about my find: http://tuxspot.blogspot.com/2005_02_01_tuxspot_archive.html
2005-04-25T10:45:00.000Z	Fazer	locomorto	Heh, bah.
